time;inertial power left wing;inertial power right wing;inertial power both wings;aerodynamic power;total, perfect elastic storage;total, no elastic storage;total, full dissipation
1.023660e-03;0.000000e+00;-2.519801e+00;-2.519801e+00;1.493101e+02;1.467903e+02;1.467903e+02;1.467903e+02 
1.535490e-03;0.000000e+00;-2.599163e+00;-2.599163e+00;1.365675e+02;1.339684e+02;1.339684e+02;1.339684e+02 
2.047039e-03;0.000000e+00;-2.677421e+00;-2.677421e+00;1.237546e+02;1.210772e+02;1.210772e+02;1.210772e+02 
2.552754e-03;0.000000e+00;-2.753701e+00;-2.753701e+00;1.113898e+02;1.086361e+02;1.086361e+02;1.086361e+02 
3.051729e-03;0.000000e+00;-2.827867e+00;-2.827867e+00;9.957423e+01;9.674637e+01;9.674637e+01;9.674637e+01 
3.546383e-03;0.000000e+00;-2.900275e+00;-2.900275e+00;8.834826e+01;8.544798e+01;8.544798e+01;8.544798e+01 
4.038354e-03;0.000000e+00;-2.971153e+00;-2.971153e+00;7.789120e+01;7.492005e+01;7.492005e+01;7.492005e+01 
4.528169e-03;0.000000e+00;-3.040556e+00;-3.040556e+00;6.824500e+01;6.520444e+01;6.520444e+01;6.520444e+01 
5.017486e-03;0.000000e+00;-3.108695e+00;-3.108695e+00;5.942981e+01;5.632111e+01;5.632111e+01;5.632111e+01 
5.506872e-03;0.000000e+00;-3.175614e+00;-3.175614e+00;5.144635e+01;4.827074e+01;4.827074e+01;4.827074e+01 
5.996353e-03;0.000000e+00;-3.241284e+00;-3.241284e+00;4.427273e+01;4.103145e+01;4.103145e+01;4.103145e+01 
6.486874e-03;0.000000e+00;-3.305792e+00;-3.305792e+00;3.784010e+01;3.453431e+01;3.453431e+01;3.453431e+01 
6.979269e-03;0.000000e+00;-3.369204e+00;-3.369204e+00;3.221134e+01;2.884214e+01;2.884214e+01;2.884214e+01 
7.472570e-03;0.000000e+00;-3.431351e+00;-3.431351e+00;2.736015e+01;2.392880e+01;2.392880e+01;2.392880e+01 
7.968431e-03;0.000000e+00;-3.492394e+00;-3.492394e+00;2.321341e+01;1.972102e+01;1.972102e+01;1.972102e+01 
8.466839e-03;0.000000e+00;-3.552276e+00;-3.552276e+00;1.978812e+01;1.623585e+01;1.623585e+01;1.623585e+01 
8.967116e-03;0.000000e+00;-3.610865e+00;-3.610865e+00;1.691827e+01;1.330741e+01;1.330741e+01;1.330741e+01 
9.470545e-03;0.000000e+00;-3.668255e+00;-3.668255e+00;1.462953e+01;1.096128e+01;1.096128e+01;1.096128e+01 
9.973813e-03;0.000000e+00;-3.724023e+00;-3.724023e+00;1.268637e+01;8.962351e+00;8.962351e+00;8.962351e+00 
1.047633e-02;0.000000e+00;-3.747323e+00;-3.747323e+00;1.102146e+01;7.274135e+00;7.274135e+00;7.274135e+00 
1.097795e-02;0.000000e+00;-3.790083e+00;-3.790083e+00;9.597528e+00;5.807445e+00;5.807445e+00;5.807445e+00 
1.147869e-02;0.000000e+00;-3.831252e+00;-3.831252e+00;8.288762e+00;4.457510e+00;4.457510e+00;4.457510e+00 
1.197858e-02;0.000000e+00;-3.870821e+00;-3.870821e+00;7.121386e+00;3.250565e+00;3.250565e+00;3.250565e+00 
1.247785e-02;0.000000e+00;-3.908793e+00;-3.908793e+00;6.126172e+00;2.217379e+00;2.217379e+00;2.217379e+00 
1.297665e-02;0.000000e+00;-3.945164e+00;-3.945164e+00;5.221570e+00;1.276406e+00;1.276406e+00;1.276406e+00 
1.347517e-02;0.000000e+00;-3.979934e+00;-3.979934e+00;4.436398e+00;4.564642e-01;4.564642e-01;4.564642e-01 
1.397347e-02;0.000000e+00;-4.013089e+00;-4.013089e+00;3.767599e+00;-2.454898e-01;0.000000e+00;2.454898e-01 
1.447147e-02;0.000000e+00;-4.044609e+00;-4.044609e+00;3.143230e+00;-9.013783e-01;0.000000e+00;9.013783e-01 
1.496930e-02;0.000000e+00;-4.074485e+00;-4.074485e+00;2.637627e+00;-1.436857e+00;0.000000e+00;1.436857e+00 
1.546704e-02;0.000000e+00;-4.102706e+00;-4.102706e+00;2.244033e+00;-1.858673e+00;0.000000e+00;1.858673e+00 
1.596478e-02;0.000000e+00;-4.129262e+00;-4.129262e+00;1.907894e+00;-2.221368e+00;0.000000e+00;2.221368e+00 
1.646262e-02;0.000000e+00;-4.154138e+00;-4.154138e+00;1.696265e+00;-2.457873e+00;0.000000e+00;2.457873e+00 
1.696049e-02;0.000000e+00;-4.177316e+00;-4.177316e+00;1.529330e+00;-2.647986e+00;0.000000e+00;2.647986e+00 
1.745844e-02;0.000000e+00;-4.198781e+00;-4.198781e+00;1.456654e+00;-2.742126e+00;0.000000e+00;2.742126e+00 
1.795648e-02;0.000000e+00;-4.218516e+00;-4.218516e+00;1.462566e+00;-2.755950e+00;0.000000e+00;2.755950e+00 
