         1633960 function calls (1596512 primitive calls) in 3.559 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.559    3.559 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:510(main)
     1206    0.216    0.000    3.407    0.003 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:427(F)
        4    0.000    0.000    2.684    0.671 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:401(show)
        4    0.000    0.000    2.684    0.671 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3593(show)
        4    0.000    0.000    2.674    0.669 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:168(start_main_loop)
        4    2.480    0.620    2.674    0.669 {built-in method matplotlib.backends._macosx.show}
        1    0.000    0.000    0.599    0.599 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:22(differential_evolution)
        1    0.000    0.000    0.595    0.595 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:960(solve)
     1205    0.002    0.000    0.555    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/_lib/_util.py:371(__call__)
3836/3552    0.001    0.000    0.542    0.000 {built-in method builtins.next}
       18    0.003    0.000    0.535    0.030 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1328(__next__)
        1    0.000    0.000    0.312    0.312 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:372(generatePlotsForKinematicsSequence)
     9456    0.006    0.000    0.212    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:58(__call__)
66737/60427    0.023    0.000    0.173    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     9456    0.005    0.000    0.170    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_interpolate.py:745(_evaluate)
  626/544    0.001    0.000    0.166    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
        5    0.000    0.000    0.158    0.032 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1219(_on_timer)
        4    0.000    0.000    0.158    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:67(callback_func)
        4    0.000    0.000    0.158    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:74(_draw_idle)
        4    0.000    0.000    0.158    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:43(draw)
        4    0.000    0.000    0.158    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:392(draw)
        4    0.000    0.000    0.157    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
    470/4    0.001    0.000    0.157    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
        4    0.000    0.000    0.157    0.039 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:3120(draw)
     8250    0.044    0.000    0.154    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_interpolate.py:676(_call_linear)
      8/4    0.000    0.000    0.138    0.035 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/image.py:113(_draw_list_compositing_images)
        5    0.000    0.000    0.130    0.026 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:2810(plot)
       12    0.000    0.000    0.129    0.011 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:2307(gca)
        4    0.000    0.000    0.115    0.029 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:691(figure)
        4    0.000    0.000    0.115    0.029 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:381(new_figure_manager)
        4    0.000    0.000    0.110    0.027 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:2999(draw)
        4    0.000    0.000    0.109    0.027 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3567(new_figure_manager)
        4    0.000    0.000    0.108    0.027 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3576(new_figure_manager_given_figure)
        4    0.000    0.000    0.108    0.027 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1731(new_manager)
        4    0.065    0.016    0.108    0.027 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
     1206    0.003    0.000    0.106    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:52(getChordLength)
        1    0.000    0.000    0.105    0.105 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:379(kinematics)
        1    0.005    0.005    0.105    0.105 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:195(generateSequence)
       12    0.000    0.000    0.103    0.009 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:893(gcf)
     3624    0.013    0.000    0.075    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_interpolate.py:487(__init__)
        6    0.000    0.000    0.071    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1368(draw)
       24    0.001    0.000    0.069    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1257(_update_ticks)
     8299    0.002    0.000    0.059    0.000 {method 'clip' of 'numpy.ndarray' objects}
     8299    0.008    0.000    0.057    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:127(_clip)
       86    0.000    0.000    0.053    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1544(_get_tick)
       24    0.000    0.000    0.052    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1595(get_major_ticks)
    16972    0.006    0.000    0.051    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     8250    0.003    0.000    0.049    0.000 <__array_function__ internals>:177(searchsorted)
        4    0.000    0.000    0.047    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:632(add_subplot)
        4    0.000    0.000    0.047    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:574(__init__)
     8250    0.002    0.000    0.043    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1345(searchsorted)
        4    0.018    0.005    0.041    0.010 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
       86    0.001    0.000    0.040    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:58(__init__)
        1    0.021    0.021    0.038    0.038 /Users/nico/Documents/GitHub/QSM-insects/insect_tools.py:232(load_t_file)
     8262    0.037    0.000    0.037    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
    16598    0.017    0.000    0.037    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/_methods.py:93(_clip_dep_is_scalar_nan)
        5    0.000    0.000    0.034    0.007 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:1388(clear)
        5    0.000    0.000    0.034    0.007 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:1262(__clear)
       53    0.000    0.000    0.033    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:416(__init__)
     9456    0.004    0.000    0.032    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:89(_prepare_x)
        1    0.000    0.000    0.031    0.031 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_minimize.py:45(minimize)
        1    0.000    0.000    0.031    0.031 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
       65    0.000    0.000    0.030    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
        1    0.000    0.000    0.029    0.029 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:439(draw)
       13    0.000    0.000    0.028    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
        1    0.000    0.000    0.028    0.028 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1095(_calculate_population_energies)
     9456    0.011    0.000    0.027    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/_lib/_util.py:206(_asarray_validated)
        3    0.000    0.000    0.026    0.009 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:348(draw)
       12    0.000    0.000    0.026    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:1617(gca)
4125/3748    0.003    0.000    0.026    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:291(process)
       14    0.000    0.000    0.025    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:254(_update_grad)
       13    0.000    0.000    0.025    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:170(update_grad)
       13    0.000    0.000    0.025    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
       13    0.000    0.000    0.024    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
        4    0.000    0.000    0.024    0.006 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:160(_close_button_pressed)
     4239    0.001    0.000    0.024    0.000 <__array_function__ internals>:177(moveaxis)
     3624    0.002    0.000    0.024    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:106(_reshape_yi)
       52    0.000    0.000    0.024    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
      208    0.003    0.000    0.022    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:363(_get_layout)
       45    0.000    0.000    0.022    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1261(_process)
       45    0.000    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:855(clear)
    17818    0.005    0.000    0.021    0.000 <__array_function__ internals>:177(ndim)
     4239    0.007    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1411(moveaxis)
       59    0.000    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:293(draw)
      646    0.000    0.000    0.021    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/markers.py:228(__init__)
     1500    0.005    0.000    0.020    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:1180(_update_props)
      281    0.003    0.000    0.020    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/lines.py:272(__init__)
       33    0.000    0.000    0.020    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:477(__init__)
        4    0.000    0.000    0.020    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_pylab_helpers.py:44(destroy)
        4    0.020    0.005    0.020    0.005 {method 'destroy' of '_macosx.FigureManager' objects}
        4    0.000    0.000    0.020    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:2937(_update_title_position)
     1080    0.003    0.000    0.019    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1471(_mutate)
      646    0.001    0.000    0.019    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/markers.py:327(_set_marker)
    30/24    0.000    0.000    0.019    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:583(__get__)
     1206    0.001    0.000    0.018    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:456(Cr2)
        1    0.000    0.000    0.018    0.018 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:1355(subplots)
    16716    0.008    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:356(issubdtype)
      155    0.001    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:738(draw)
      114    0.001    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:918(get_window_extent)
       56    0.000    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1565(_copy_tick_props)
     1273    0.000    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:1216(_internal_update)
      924    0.000    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:147(<lambda>)
      175    0.000    0.000    0.017    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/lines.py:1335(update_from)
      924    0.001    0.000    0.017    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:1227(set)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:892(_start)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1727(_init_draw)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1759(_draw_frame)
        1    0.000    0.000    0.017    0.017 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:309(animationPlot)
     7925    0.006    0.000    0.017    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     1206    0.000    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/integrate/_quadrature.py:133(trapz)
10899/175    0.007    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:128(deepcopy)
    14022    0.015    0.000    0.015    0.000 {built-in method numpy.array}
  700/175    0.002    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:227(_deepcopy_dict)
     3624    0.001    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:51(__init__)
     4941    0.002    0.000    0.015    0.000 <__array_function__ internals>:177(norm)
