[-0.24309982 -0.93646929  0.25283936]
[-0.1816896  -0.89571411  0.40581415]
[-0.12256988 -0.83175002  0.5414504 ]
[-0.07056317 -0.75422479  0.65281376]
[-0.02916627 -0.67440215  0.73778796]
[-1.90863692e-04 -6.02227072e-01  7.98324820e-01]
[ 0.01607934 -0.54432943  0.83871743]
[ 0.02053641 -0.50328686  0.86387534]
[ 0.01497379 -0.47791201  0.87828008]
[ 0.00198039 -0.46413943  0.88575994]
[-0.01508305 -0.45615802  0.88977096]
[-0.03283569 -0.44860974  0.89312436]
[-0.05028582 -0.44050301  0.8963417 ]
[-0.06720311 -0.43194462  0.8993929 ]
[-0.08350172 -0.42300526  0.90227158]
[-0.09924026 -0.4136895   0.90499302]
