time;fx (forward);fy (lateral);fz (vertical)
data are dimensionless (using rho_f, R, f as reference); kinematic model parameters: PHI=120, phi_m=20, dTau=+0.05
0.000000e+00;1.469546e+00;-4.018434e+00;8.168842e-01
1.000000e-03;1.473053e+00;-4.073614e+00;7.672680e-01
2.000000e-03;1.470428e+00;-4.116021e+00;7.106160e-01
3.000000e-03;1.463303e+00;-4.155301e+00;6.517316e-01
4.000000e-03;1.457299e+00;-4.187560e+00;5.893013e-01
5.000000e-03;1.450371e+00;-4.216977e+00;5.191147e-01
6.000000e-03;1.438138e+00;-4.245119e+00;4.512239e-01
7.000000e-03;1.423844e+00;-4.261361e+00;3.889624e-01
8.000000e-03;1.413580e+00;-4.274748e+00;3.151078e-01
9.000000e-03;1.398260e+00;-4.287241e+00;2.406455e-01
1.000000e-02;1.377025e+00;-4.292381e+00;1.745624e-01
1.100000e-02;1.364556e+00;-4.300140e+00;1.006449e-01
1.200000e-02;1.344159e+00;-4.305656e+00;2.869162e-02
1.300000e-02;1.323556e+00;-4.293185e+00;-4.450050e-02
1.400000e-02;1.301029e+00;-4.282327e+00;-1.203422e-01
1.500000e-02;1.277982e+00;-4.262856e+00;-1.944290e-01
1.600000e-02;1.252159e+00;-4.232259e+00;-2.640014e-01
1.700000e-02;1.222444e+00;-4.198899e+00;-3.414475e-01
1.800000e-02;1.196955e+00;-4.159343e+00;-4.165231e-01
1.900000e-02;1.163454e+00;-4.116111e+00;-4.856858e-01
2.000000e-02;1.137601e+00;-4.065910e+00;-5.568094e-01
2.100000e-02;1.102740e+00;-4.021357e+00;-6.196535e-01
2.200000e-02;1.075140e+00;-3.967563e+00;-6.921419e-01
2.300000e-02;1.044411e+00;-3.916616e+00;-7.602391e-01
2.400000e-02;1.011828e+00;-3.851660e+00;-8.184993e-01
2.500000e-02;9.790189e-01;-3.785651e+00;-8.782290e-01
2.600000e-02;9.441482e-01;-3.709514e+00;-9.346551e-01
2.700000e-02;9.086674e-01;-3.628002e+00;-9.917209e-01
2.800000e-02;8.779138e-01;-3.545824e+00;-1.047705e+00
2.900000e-02;8.385668e-01;-3.455929e+00;-1.089468e+00
3.000000e-02;8.074344e-01;-3.360800e+00;-1.135522e+00
3.100000e-02;7.761773e-01;-3.274458e+00;-1.180492e+00
3.200000e-02;7.429697e-01;-3.180907e+00;-1.221656e+00
3.300000e-02;7.081710e-01;-3.089038e+00;-1.256229e+00
3.400000e-02;6.713083e-01;-2.992667e+00;-1.285615e+00
3.500000e-02;6.382546e-01;-2.893170e+00;-1.316607e+00
3.600000e-02;6.033715e-01;-2.782877e+00;-1.340666e+00
3.700000e-02;5.674315e-01;-2.674748e+00;-1.354411e+00
3.800000e-02;5.389221e-01;-2.568319e+00;-1.365943e+00
3.900000e-02;5.086473e-01;-2.456361e+00;-1.379309e+00
4.000000e-02;4.763711e-01;-2.339943e+00;-1.383245e+00
4.100000e-02;4.478696e-01;-2.235295e+00;-1.384881e+00
4.200000e-02;4.205521e-01;-2.130996e+00;-1.384151e+00
4.300000e-02;3.898117e-01;-2.023979e+00;-1.382816e+00
4.400000e-02;3.669426e-01;-1.915731e+00;-1.374884e+00
4.500000e-02;3.372346e-01;-1.808097e+00;-1.363186e+00
4.600000e-02;3.100319e-01;-1.698896e+00;-1.348343e+00
4.700000e-02;2.863214e-01;-1.589840e+00;-1.327452e+00
4.800000e-02;2.635303e-01;-1.479873e+00;-1.306630e+00
4.900000e-02;2.396960e-01;-1.369084e+00;-1.278505e+00
5.000000e-02;2.137324e-01;-1.262503e+00;-1.242443e+00
5.100000e-02;1.923600e-01;-1.160598e+00;-1.212373e+00
5.200000e-02;1.705101e-01;-1.060119e+00;-1.180422e+00
