time;alpha;phi;theta;alpha_dot;phi_dot;theta_dot
data in degree and degree/T; model parameters: PHI=120, phi_m=20, dTau=+0.05
0.000000e+00;-2.759949e+01;7.687736e+01;-5.969370e+00;5.053887e+02;1.328494e+01;1.189333e+00
1.000000e-03;-2.708641e+01;7.690393e+01;-5.966991e+00;5.207623e+02;2.555981e+01;2.728559e+00
2.000000e-03;-2.655796e+01;7.692848e+01;-5.963913e+00;5.361055e+02;2.354174e+01;3.432852e+00
3.000000e-03;-2.601420e+01;7.695101e+01;-5.960126e+00;5.514032e+02;2.152788e+01;4.146162e+00
4.000000e-03;-2.545516e+01;7.697153e+01;-5.955621e+00;5.666403e+02;1.951821e+01;4.868489e+00
5.000000e-03;-2.488092e+01;7.699005e+01;-5.950389e+00;5.818017e+02;1.751274e+01;5.599833e+00
6.000000e-03;-2.429155e+01;7.700656e+01;-5.944421e+00;5.968726e+02;1.551146e+01;6.340194e+00
7.000000e-03;-2.368717e+01;7.702107e+01;-5.937708e+00;6.118380e+02;1.351439e+01;7.089571e+00
8.000000e-03;-2.306788e+01;7.703359e+01;-5.930242e+00;6.266832e+02;1.152151e+01;7.847965e+00
9.000000e-03;-2.243380e+01;7.704411e+01;-5.922012e+00;6.413934e+02;9.532834e+00;8.615375e+00
1.000000e-02;-2.178509e+01;7.705265e+01;-5.913011e+00;6.559543e+02;7.547537e+00;9.390451e+00
1.100000e-02;-2.112190e+01;7.705921e+01;-5.903231e+00;6.703514e+02;5.564940e+00;1.017031e+01
1.200000e-02;-2.044439e+01;7.706378e+01;-5.892670e+00;6.845705e+02;3.586058e+00;1.095400e+01
1.300000e-02;-1.975275e+01;7.706638e+01;-5.881323e+00;6.985975e+02;1.611776e+00;1.174212e+01
1.400000e-02;-1.904719e+01;7.706701e+01;-5.869186e+00;7.124188e+02;-3.579071e-01;1.253465e+01
1.500000e-02;-1.832792e+01;7.706567e+01;-5.856254e+00;7.260205e+02;-2.322991e+00;1.333161e+01
1.600000e-02;-1.759515e+01;7.706236e+01;-5.842523e+00;7.393893e+02;-4.283476e+00;1.413299e+01
1.700000e-02;-1.684914e+01;7.705710e+01;-5.827988e+00;7.525119e+02;-6.239361e+00;1.493880e+01
1.800000e-02;-1.609013e+01;7.704988e+01;-5.812645e+00;7.653756e+02;-8.190648e+00;1.574902e+01
1.900000e-02;-1.531839e+01;7.704072e+01;-5.796490e+00;7.779674e+02;-1.013734e+01;1.656367e+01
2.000000e-02;-1.453419e+01;7.702961e+01;-5.779518e+00;7.902751e+02;-1.208031e+01;1.738218e+01
2.100000e-02;-1.373784e+01;7.701656e+01;-5.761726e+00;8.022864e+02;-1.402037e+01;1.820193e+01
2.200000e-02;-1.292962e+01;7.700157e+01;-5.743114e+00;8.139895e+02;-1.595649e+01;1.902044e+01
