time;inertial power left wing;inertial power right wing;inertial power both wings;aerodynamic power;total, perfect elastic storage;total, no elastic storage;total, full dissipation
1.023660e-03;0.000000e+00;2.673946e+00;2.673946e+00;8.974012e+01;9.241406e+01;9.241406e+01;9.241406e+01 
1.535490e-03;0.000000e+00;2.640024e+00;2.640024e+00;8.336719e+01;8.600722e+01;8.600722e+01;8.600722e+01 
2.047320e-03;0.000000e+00;2.604787e+00;2.604787e+00;7.672462e+01;7.932940e+01;7.932940e+01;7.932940e+01 
2.559150e-03;0.000000e+00;2.568270e+00;2.568270e+00;7.008765e+01;7.265592e+01;7.265592e+01;7.265592e+01 
3.070980e-03;0.000000e+00;2.530507e+00;2.530507e+00;6.346056e+01;6.599107e+01;6.599107e+01;6.599107e+01 
3.582810e-03;0.000000e+00;2.491534e+00;2.491534e+00;5.704977e+01;5.954131e+01;5.954131e+01;5.954131e+01 
4.094640e-03;0.000000e+00;2.451387e+00;2.451387e+00;5.092750e+01;5.337888e+01;5.337888e+01;5.337888e+01 
4.605160e-03;0.000000e+00;2.410208e+00;2.410208e+00;4.519777e+01;4.760797e+01;4.760797e+01;4.760797e+01 
5.114078e-03;0.000000e+00;2.368065e+00;2.368065e+00;3.999491e+01;4.236298e+01;4.236298e+01;4.236298e+01 
5.621817e-03;0.000000e+00;2.324969e+00;2.324969e+00;3.525182e+01;3.757679e+01;3.757679e+01;3.757679e+01 
6.129041e-03;0.000000e+00;2.280904e+00;2.280904e+00;3.098625e+01;3.326716e+01;3.326716e+01;3.326716e+01 
6.636553e-03;0.000000e+00;2.235836e+00;2.235836e+00;2.719120e+01;2.942703e+01;2.942703e+01;2.942703e+01 
7.143938e-03;0.000000e+00;2.189837e+00;2.189837e+00;2.390257e+01;2.609240e+01;2.609240e+01;2.609240e+01 
7.652088e-03;0.000000e+00;2.142861e+00;2.142861e+00;2.113685e+01;2.327971e+01;2.327971e+01;2.327971e+01 
8.161261e-03;0.000000e+00;2.094915e+00;2.094915e+00;1.885921e+01;2.095412e+01;2.095412e+01;2.095412e+01 
8.671069e-03;0.000000e+00;2.046069e+00;2.046069e+00;1.705022e+01;1.909629e+01;1.909629e+01;1.909629e+01 
9.182787e-03;0.000000e+00;1.996230e+00;1.996230e+00;1.562535e+01;1.762158e+01;1.762158e+01;1.762158e+01 
9.694575e-03;0.000000e+00;1.945612e+00;1.945612e+00;1.451809e+01;1.646371e+01;1.646371e+01;1.646371e+01 
1.020641e-02;0.000000e+00;1.987095e+00;1.987095e+00;1.364363e+01;1.563072e+01;1.563072e+01;1.563072e+01 
1.071824e-02;0.000000e+00;1.917275e+00;1.917275e+00;1.289880e+01;1.481607e+01;1.481607e+01;1.481607e+01 
1.123007e-02;0.000000e+00;1.846608e+00;1.846608e+00;1.227970e+01;1.412630e+01;1.412630e+01;1.412630e+01 
1.174190e-02;0.000000e+00;1.775148e+00;1.775148e+00;1.170661e+01;1.348176e+01;1.348176e+01;1.348176e+01 
1.225373e-02;0.000000e+00;1.702948e+00;1.702948e+00;1.120002e+01;1.290296e+01;1.290296e+01;1.290296e+01 
1.276556e-02;0.000000e+00;1.630062e+00;1.630062e+00;1.074477e+01;1.237483e+01;1.237483e+01;1.237483e+01 
1.327739e-02;0.000000e+00;1.556542e+00;1.556542e+00;1.034808e+01;1.190462e+01;1.190462e+01;1.190462e+01 
1.378922e-02;0.000000e+00;1.482443e+00;1.482443e+00;1.002359e+01;1.150604e+01;1.150604e+01;1.150604e+01 
1.430105e-02;0.000000e+00;1.407816e+00;1.407816e+00;9.716977e+00;1.112479e+01;1.112479e+01;1.112479e+01 
1.481288e-02;0.000000e+00;1.332715e+00;1.332715e+00;9.470223e+00;1.080294e+01;1.080294e+01;1.080294e+01 
1.532471e-02;0.000000e+00;1.257191e+00;1.257191e+00;9.273996e+00;1.053119e+01;1.053119e+01;1.053119e+01 
1.583654e-02;0.000000e+00;1.181298e+00;1.181298e+00;9.119580e+00;1.030088e+01;1.030088e+01;1.030088e+01 
1.634837e-02;0.000000e+00;1.105085e+00;1.105085e+00;9.039948e+00;1.014503e+01;1.014503e+01;1.014503e+01 
1.686020e-02;0.000000e+00;1.028606e+00;1.028606e+00;9.008940e+00;1.003755e+01;1.003755e+01;1.003755e+01 
1.737203e-02;0.000000e+00;9.519103e-01;9.519103e-01;9.045047e+00;9.996958e+00;9.996958e+00;9.996958e+00 
1.788386e-02;0.000000e+00;8.750494e-01;8.750494e-01;9.118180e+00;9.993230e+00;9.993230e+00;9.993230e+00 
1.839569e-02;0.000000e+00;7.980732e-01;7.980732e-01;9.260573e+00;1.005865e+01;1.005865e+01;1.005865e+01 
1.890752e-02;0.000000e+00;7.210316e-01;7.210316e-01;9.447761e+00;1.016879e+01;1.016879e+01;1.016879e+01 
1.941934e-02;0.000000e+00;6.439745e-01;6.439745e-01;9.647782e+00;1.029176e+01;1.029176e+01;1.029176e+01 
1.993113e-02;0.000000e+00;5.669562e-01;5.669562e-01;9.910480e+00;1.047744e+01;1.047744e+01;1.047744e+01 
2.044281e-02;0.000000e+00;6.042983e-01;6.042983e-01;1.016832e+01;1.077262e+01;1.077262e+01;1.077262e+01 
2.095445e-02;0.000000e+00;5.174820e-01;5.174820e-01;1.044909e+01;1.096657e+01;1.096657e+01;1.096657e+01 
2.146612e-02;0.000000e+00;4.308005e-01;4.308005e-01;1.068496e+01;1.111576e+01;1.111576e+01;1.111576e+01 
2.197783e-02;0.000000e+00;3.443067e-01;3.443067e-01;1.088703e+01;1.123134e+01;1.123134e+01;1.123134e+01 
2.248958e-02;0.000000e+00;2.580562e-01;2.580562e-01;1.107389e+01;1.133195e+01;1.133195e+01;1.133195e+01 
2.300138e-02;0.000000e+00;1.721015e-01;1.721015e-01;1.119872e+01;1.137082e+01;1.137082e+01;1.137082e+01 
