         12873112 function calls (12478324 primitive calls) in 7.593 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.593    7.593 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:599(main)
     1146    1.001    0.001    7.481    0.007 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:485(F)
        1    0.000    0.000    4.356    4.356 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:22(differential_evolution)
        1    0.000    0.000    4.353    4.353 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:960(solve)
     1145    0.002    0.000    4.310    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/_lib/_util.py:371(__call__)
5354/4934    0.001    0.000    3.892    0.001 {built-in method builtins.next}
       17    0.003    0.000    3.883    0.228 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1328(__next__)
626696/278481    0.197    0.000    3.042    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        4    0.000    0.000    2.987    0.747 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:401(show)
        4    0.000    0.000    2.987    0.747 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3593(show)
        4    0.000    0.000    2.977    0.744 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:168(start_main_loop)
        4    2.521    0.630    2.977    0.744 {built-in method matplotlib.backends._macosx.show}
   114808    0.044    0.000    2.525    0.000 <__array_function__ internals>:177(cross)
   114808    0.738    0.000    2.412    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1486(cross)
   346716    0.098    0.000    1.515    0.000 <__array_function__ internals>:177(moveaxis)
   346716    0.440    0.000    1.314    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1411(moveaxis)
   693450    0.465    0.000    0.700    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
        1    0.000    0.000    0.575    0.575 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:452(generatePlotsForKinematicsSequence)
   119312    0.042    0.000    0.494    0.000 <__array_function__ internals>:177(norm)
   119312    0.204    0.000    0.407    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:2342(norm)
        6    0.000    0.000    0.350    0.058 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1219(_on_timer)
        5    0.000    0.000    0.333    0.067 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:67(callback_func)
        5    0.000    0.000    0.333    0.067 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:74(_draw_idle)
        5    0.000    0.000    0.333    0.067 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:43(draw)
        5    0.000    0.000    0.333    0.067 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:392(draw)
        5    0.000    0.000    0.331    0.066 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:93(draw_wrapper)
    691/5    0.001    0.000    0.331    0.066 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
        5    0.000    0.000    0.331    0.066 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:3120(draw)
     10/5    0.000    0.000    0.312    0.062 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/image.py:113(_draw_list_compositing_images)
        1    0.000    0.000    0.245    0.245 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_minimize.py:45(minimize)
        1    0.000    0.000    0.245    0.245 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
       65    0.000    0.000    0.243    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:132(fun_wrapped)
        5    0.000    0.000    0.241    0.048 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:2999(draw)
       13    0.000    0.000    0.226    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
        1    0.000    0.000    0.224    0.224 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentialevolution.py:1095(_calculate_population_energies)
        2    0.000    0.000    0.201    0.100 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:439(draw)
       14    0.000    0.000    0.196    0.014 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:254(_update_grad)
       13    0.000    0.000    0.196    0.015 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:170(update_grad)
       13    0.000    0.000    0.196    0.015 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_numdiff.py:275(approx_derivative)
       13    0.000    0.000    0.195    0.015 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_numdiff.py:566(_dense_difference)
       52    0.000    0.000    0.195    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_numdiff.py:455(fun_wrapped)
  840/743    0.001    0.000    0.195    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
     7890    0.005    0.000    0.194    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:58(__call__)
   119802    0.171    0.000    0.171    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     7890    0.004    0.000    0.157    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_interpolate.py:745(_evaluate)
     7890    0.044    0.000    0.152    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_interpolate.py:676(_call_linear)
   693450    0.103    0.000    0.149    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1398(<listcomp>)
      265    0.003    0.000    0.147    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:363(_get_layout)
        5    0.000    0.000    0.143    0.029 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:2810(plot)
       12    0.000    0.000    0.142    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:2307(gca)
      538    0.001    0.000    0.136    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
        4    0.000    0.000    0.136    0.034 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/legend.py:708(draw)
      130    0.000    0.000    0.132    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:221(get_text_width_height_descent)
       85    0.000    0.000    0.130    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:101(_get_text_metrics_with_cache_impl)
    57/30    0.000    0.000    0.128    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:506(_get_bbox_and_child_offsets)
        4    0.000    0.000    0.128    0.032 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:691(figure)
        4    0.000    0.000    0.128    0.032 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:381(new_figure_manager)
    57/30    0.000    0.000    0.127    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:512(<listcomp>)
    24/16    0.000    0.000    0.127    0.008 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:474(_get_bbox_and_child_offsets)
    60/21    0.000    0.000    0.127    0.006 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:365(get_bbox)
    24/16    0.000    0.000    0.126    0.008 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:485(<listcomp>)
